registration_date,traffic_type,id_partner,age_group,device,country_tier,registrations,users_acqusition_costs,revenue_7_days,logins_1_lt,logins_3_lt,logins_7_lt
2021-06-23,Google Search,1,35-55,Android,Tier_1,108,1850.0,300.98,19,12,9
2021-10-04,Google Search,1,35-55,iOS,Tier_1,135,5552.0,882.9100000000001,27,20,17
2021-03-26,Google Search,1,35-,Windows,Tier_3,3,0.0,0.0,0,0,1
2021-07-03,Google Search,1,55+,Windows,Tier_1,39,1350.0,65.97,13,7,3
2021-08-26,Google Search,1,35-55,iOS,Tier_1,137,2800.0,294.06,25,14,8
2021-08-12,Google Search,1,35-,Windows,Tier_1,19,0.0,0.0,0,1,0
2021-09-26,Google Search,1,35-,iOS,Tier_1,68,2264.0,130.16,9,5,2
2021-06-01,Google Search,1,55+,iOS,Tier_1,44,0.0,2.99,8,5,4
2021-06-14,Google Search,1,35-55,iOS,Tier_1,97,3500.0,486.93000000000006,20,12,7
2021-01-11,Google Search,1,55+,Windows,Tier_1,49,500.0,0.0,9,8,3
2021-04-13,Google Search,1,35-55,Android,Tier_1,116,5020.0,693.7900000000001,30,15,9
2021-08-25,Google Search,1,55+,iOS,Tier_1,58,2640.0,641.96,17,11,5
2021-09-13,Google Search,1,35-55,iOS,Tier_1,122,4908.0,585.9300000000001,18,10,6
2021-07-10,Google Search,1,35-55,Android,Tier_1,105,3050.0,814.96,18,16,7
2021-08-16,Google Search,1,35-55,Android,Tier_1,111,3200.0,3732.4199999999996,31,17,10
2021-04-07,Google Search,1,55+,iOS,Tier_1,50,0.0,0.0,9,6,6
2021-07-15,Google Search,1,35-55,Android,Tier_3,3,315.0,3.53,2,1,0
2021-01-17,Google Search,1,35-,Android,Tier_1,53,700.0,4.06,4,3,0
2021-06-04,Google Search,1,35-,Windows,Tier_1,16,0.0,0.0,1,1,0
2021-02-21,Google Search,1,55+,Windows,Tier_1,64,1770.0,231.94,20,11,5
2021-03-08,Google Search,1,55+,iOS,Tier_1,46,500.0,2.99,10,2,0
2021-08-10,Google Search,1,35-,iOS,Tier_1,75,860.0,24.979999999999997,6,0,0
2021-10-22,Google Search,1,35-55,Windows,Tier_1,23,540.0,0.0,3,3,1
2021-06-04,Google Search,1,35-55,Android,Tier_1,85,2100.0,49.959999999999994,16,13,10
2021-06-07,Google Search,1,35-55,Android,Tier_2,7,315.0,3.64,4,4,3
2021-05-24,Google Search,1,55+,iOS,Tier_1,48,2060.0,1341.95,9,8,5
2021-06-05,Google Search,1,35-,iOS,Tier_2,2,0.0,0.0,0,0,0
2021-06-26,Google Search,1,35-55,MacOS,Tier_1,7,0.0,0.0,0,0,1
2021-09-06,Google Search,1,35-,MacOS,Tier_1,3,0.0,0.0,0,0,0
2021-05-19,Google Search,1,35-,Android,Tier_3,3,0.0,0.0,0,0,0
2021-03-17,Google Search,1,35-,Windows,Tier_1,20,0.0,0.0,0,0,0
2021-05-29,Google Search,1,35-55,iOS,Tier_1,87,2050.0,129.92,19,8,5
2021-10-08,Google Search,1,35-55,iOS,Tier_3,4,0.0,0.0,1,0,0
2021-10-19,Google Search,1,35-,Windows,Tier_1,16,0.0,0.0,0,0,2
2021-07-02,Google Search,1,35-,Android,Tier_1,43,1220.0,138.98000000000002,6,3,0
2021-02-01,Google Search,1,35-,Other,Tier_1,4,0.0,0.0,1,0,0
2021-09-03,Google Search,1,35-55,iOS,Tier_1,97,3308.0,539.95,15,12,5
2021-08-24,Google Search,1,55+,Windows,Tier_2,8,0.0,0.0,3,3,1
2021-07-02,Google Search,1,35-55,Android,Tier_1,83,2220.0,399.1,16,7,7
2021-08-04,Google Search,1,55+,iOS,Tier_1,56,1000.0,3091.9699999999993,13,7,3
2021-01-29,Google Search,1,55+,Windows,Tier_1,46,530.0,2.99,15,7,5
2021-11-02,Google Search,1,55+,Windows,Tier_2,6,0.0,0.0,2,2,1
2021-06-13,Google Search,1,35-55,Windows,Tier_1,31,0.0,0.0,1,0,0
2021-03-08,Google Search,1,35-55,MacOS,Tier_1,11,0.0,0.0,2,1,0
2021-10-28,Google Search,1,35-,Windows,Tier_3,9,0.0,0.0,0,0,0
2021-02-02,Google Search,1,35-,Windows,Tier_3,3,0.0,0.0,1,0,0
2021-07-07,Google Search,1,55+,iOS,Tier_2,1,0.0,0.0,0,0,0
2021-01-24,Google Search,1,55+,Android,Tier_2,4,0.0,3.64,0,0,0
2021-03-02,Google Search,1,55+,Windows,Tier_1,41,2560.0,78.96,18,12,8
2021-11-12,Google Search,1,35-55,Android,Tier_2,14,0.0,0.0,2,1,1
2021-09-27,Google Search,1,35-55,Android,Tier_2,14,340.0,211.06,1,1,1
2021-11-08,Google Search,1,55+,iOS,Tier_1,47,1584.0,861.97,7,6,5
2021-05-15,Google Search,1,35-,iOS,Tier_1,44,635.0,199.98000000000002,5,2,1
2021-07-29,Google Search,1,35-,Windows,Tier_1,20,0.0,0.0,1,2,0
2021-09-27,Google Search,1,55+,Windows,Tier_2,2,0.0,0.0,0,0,0
2021-11-15,Google Search,1,55+,Windows,Tier_1,34,400.0,201.98000000000002,10,5,3
2021-04-09,Google Search,1,55+,Android,Tier_3,7,0.0,0.0,4,2,1
2021-07-13,Google Search,1,35-,Other,Tier_1,4,0.0,0.0,0,0,0
2021-11-07,Google Search,1,35-55,Windows,Tier_1,30,1480.0,220.98000000000002,3,3,2
2021-02-11,Google Search,1,35-55,MacOS,Tier_1,10,0.0,0.0,1,1,0
2021-07-12,Google Search,1,55+,Android,Tier_3,2,0.0,0.0,0,0,0
2021-10-23,Google Search,1,35-,Android,Tier_3,12,0.0,0.0,0,1,0
2021-09-30,Google Search,1,35-55,Android,Tier_3,7,0.0,0.0,1,0,0
2021-03-23,Google Search,1,35-55,iOS,Tier_3,3,330.0,87.08,1,0,0
2021-10-16,Google Search,1,55+,Android,Tier_2,23,680.0,119.44,4,3,2
2021-08-17,Google Search,1,35-55,Windows,Tier_1,29,900.0,5.98,7,1,3
2021-01-18,Google Search,1,35-,Android,Tier_1,48,950.0,48.95,6,4,3
2021-08-02,Google Search,1,55+,Android,Tier_2,3,701.0,3.55,1,1,0
2021-10-31,Google Search,1,55+,MacOS,Tier_2,1,0.0,0.0,1,1,1
2021-04-17,Google Search,1,35-55,Windows,Tier_2,5,0.0,0.0,1,1,1
2021-08-20,Google Search,1,35-55,Android,Tier_3,6,700.0,32.66,3,2,0
2021-04-18,Google Search,1,35-55,iOS,Tier_2,4,0.0,0.0,1,1,0
2021-09-13,Google Search,1,55+,iOS,Tier_1,43,2088.0,1000.95,11,6,5
2021-08-02,Google Search,1,35-55,Android,Tier_3,12,0.0,0.0,4,0,0
2021-08-27,Google Search,1,55+,Other,Tier_1,5,0.0,0.0,0,0,0
2021-03-09,Google Search,1,55+,iOS,Tier_3,1,0.0,0.0,0,0,0
2021-09-15,Google Search,1,55+,MacOS,Tier_2,1,0.0,0.0,1,1,0
2021-01-24,Google Search,1,35-,Windows,Tier_3,2,0.0,0.0,0,0,0
2021-09-29,Google Search,1,55+,iOS,Tier_2,3,0.0,0.0,0,0,0
2021-11-03,Google Search,1,55+,Other,Tier_2,1,0.0,0.0,0,0,0
2021-09-12,Google Search,1,35-,Android,Tier_3,8,0.0,0.0,2,0,0
2021-06-25,Google Search,1,35-55,iOS,Tier_3,4,500.0,59.99,1,1,0
2021-04-11,Google Search,1,55+,MacOS,Tier_2,3,350.0,804.85,2,1,1
2021-01-16,Google Search,1,35-55,Windows,Tier_2,7,300.0,3.61,1,0,1
2021-03-01,Google Search,1,55+,Other,Tier_1,6,0.0,0.0,3,1,3
2021-09-29,Google Search,1,55+,Other,Tier_1,4,0.0,0.0,1,1,1
2021-09-22,Google Search,1,55+,MacOS,Tier_2,1,0.0,0.0,1,1,0
2021-05-19,Google Search,1,35-55,MacOS,Tier_1,12,900.0,174.97,3,3,2
2021-06-01,Google Search,1,55+,iOS,Tier_3,1,0.0,0.0,1,1,0
2021-01-09,Google Search,1,35-,iOS,Tier_2,3,350.0,28.1,1,1,1
2021-02-27,Google Search,1,35-,Other,Tier_3,1,0.0,0.0,0,0,0
2021-02-01,Google Search,1,55+,Windows,Tier_3,4,0.0,0.0,2,1,2
2021-06-03,Google Search,1,55+,MacOS,Tier_1,8,400.0,0.0,1,0,0
2021-01-01,Google Search,1,35-55,Android,Tier_2,16,665.0,62.79,3,1,2
2021-03-13,Google Search,1,35-55,MacOS,Tier_1,11,0.0,0.0,1,0,0
2021-10-30,Google Search,1,35-,Other,Tier_1,7,0.0,0.0,0,1,0
2021-06-22,Google Search,1,35-,Windows,Tier_1,9,0.0,0.0,1,1,0
2021-10-27,Google Search,1,35-,Windows,Tier_1,11,0.0,0.0,2,0,0
2021-05-09,Google Search,1,35-55,Android,Tier_2,10,0.0,0.0,0,1,0
2021-08-09,Google Search,1,35-,Android,Tier_3,11,0.0,0.0,2,1,0
2021-04-15,Google Search,1,55+,iOS,Tier_2,1,0.0,0.0,0,0,0
2021-03-02,Google Search,1,55+,MacOS,Tier_1,13,0.0,0.0,1,0,1
2021-02-11,Google Search,1,35-,MacOS,Tier_1,4,0.0,0.0,0,0,0
2021-03-22,Google Search,1,55+,MacOS,Tier_3,1,0.0,0.0,0,0,0
2021-07-07,Google Search,1,35-55,Other,Tier_1,3,0.0,0.0,1,0,0
2021-10-13,Google Search,1,35-55,Android,Tier_2,7,0.0,0.0,0,1,0
2021-04-28,Google Search,1,55+,Android,Tier_2,4,0.0,0.0,1,1,0
2021-09-24,Google Search,1,55+,iOS,Tier_1,67,2124.0,366.97,13,9,8
2021-09-03,Google Search,1,55+,iOS,Tier_2,4,0.0,0.0,0,0,0
2021-05-03,Google Search,1,35-,iOS,Tier_3,4,0.0,0.0,0,0,0
2021-03-11,Google Search,1,35-,Windows,Tier_1,14,900.0,918.86,3,1,2
2021-01-21,Google Search,1,35-55,iOS,Tier_2,3,0.0,22.98,1,1,1
2021-08-20,Google Search,1,55+,MacOS,Tier_1,5,0.0,2.99,0,0,1
2021-01-21,Google Search,1,35-,Android,Tier_3,1,0.0,0.0,0,0,0
2021-08-19,Google Search,1,35-,Windows,Tier_3,4,0.0,0.0,1,0,0
2021-10-12,Google Search,1,55+,Windows,Tier_2,3,0.0,0.0,1,1,1
2021-10-03,Google Search,1,35-,iOS,Tier_3,6,0.0,2.99,1,1,0
2021-11-09,Google Search,1,35-55,Windows,Tier_2,4,0.0,0.0,1,1,0
2021-02-09,Google Search,1,35-55,Android,Tier_3,2,500.0,100.47,1,1,1
2021-07-06,Google Search,1,35-,Windows,Tier_2,3,0.0,0.0,1,0,0
2021-05-12,Google Search,1,35-55,MacOS,Tier_1,7,500.0,47.98,3,3,1
2021-06-01,Google Search,1,35-55,Windows,Tier_3,4,0.0,0.0,0,1,0
2021-06-15,Google Search,1,35-,MacOS,Tier_1,3,0.0,0.0,1,0,0
2021-10-03,Google Search,1,35-55,Windows,Tier_3,6,0.0,0.0,0,0,1
2021-09-15,Google Search,1,35-,iOS,Tier_3,6,0.0,0.0,2,1,0
2021-09-30,Google Search,1,55+,Windows,Tier_3,2,0.0,0.0,0,0,1
2021-06-12,Google Search,1,35-,Windows,Tier_3,2,0.0,0.0,0,1,1
2021-07-06,Google Search,1,55+,MacOS,Tier_1,6,0.0,0.0,1,1,0
2021-02-03,Google Search,1,55+,Windows,Tier_2,6,0.0,0.0,1,0,1
2021-01-05,Google Search,1,55+,Windows,Tier_3,2,330.0,0.0,1,1,1
2021-06-07,Google Search,1,55+,Android,Tier_2,2,315.0,3.64,1,0,0
2021-02-11,Google Search,1,35-55,Android,Tier_3,5,0.0,0.0,0,1,0
2021-10-06,Google Search,1,35-55,iOS,Tier_3,3,0.0,0.0,0,0,0
2021-01-20,Google Search,1,35-,MacOS,Tier_1,7,200.0,0.0,2,1,1
2021-04-15,Google Search,1,55+,iOS,Tier_1,43,1000.0,1385.8600000000001,11,9,8
2021-10-07,Google Search,1,55+,Other,Tier_1,3,0.0,0.0,0,0,0
2021-01-03,Google Search,1,55+,iOS,Tier_2,1,0.0,0.0,0,0,0
2021-06-06,Google Search,1,55+,MacOS,Tier_1,11,0.0,0.0,0,0,0
2021-10-09,Google Search,1,55+,Windows,Tier_2,3,0.0,0.0,1,1,0
2021-08-31,Google Search,1,55+,MacOS,Tier_1,10,0.0,0.0,4,2,3
2021-05-25,Google Search,1,55+,Other,Tier_1,3,0.0,0.0,1,0,0
2021-06-26,Google Search,1,35-,Windows,Tier_1,11,0.0,0.0,1,0,0
2021-01-13,Google Search,1,35-55,Android,Tier_3,5,0.0,3.65,1,0,0
2021-03-09,Google Search,1,55+,Android,Tier_3,2,0.0,0.0,1,1,1
2021-03-02,Google Search,1,35-55,Windows,Tier_1,39,1430.0,47.98,5,4,2
2021-01-23,Google Search,1,35-,iOS,Tier_2,4,0.0,0.0,0,0,0
2021-08-03,Google Search,1,35-,MacOS,Tier_1,3,0.0,0.0,1,0,0
2021-05-31,Google Search,1,35-,Windows,Tier_2,3,100.0,28.01,1,0,0
2021-10-12,Google Search,1,35-,iOS,Tier_3,1,0.0,0.0,0,0,0
2021-01-29,Google Search,1,55+,Other,Tier_1,3,0.0,0.0,2,1,1
2021-05-02,Google Search,1,35-,MacOS,Tier_2,1,0.0,0.0,0,0,0
2021-11-11,Google Search,1,55+,Android,Tier_2,1,0.0,0.0,0,0,0
2021-10-01,Google Search,1,35-,Windows,Tier_2,2,0.0,0.0,0,0,0
2021-06-26,Google Search,1,35-,MacOS,Tier_1,4,0.0,0.0,0,0,0
2021-08-17,Google Search,1,35-55,iOS,Tier_3,4,0.0,0.0,0,0,0
2021-09-13,Google Search,1,35-,iOS,Tier_3,2,0.0,0.0,0,0,0
2021-02-03,Google Search,1,35-,Other,Tier_1,3,0.0,0.0,0,0,0
2021-06-13,Google Search,1,35-55,MacOS,Tier_1,9,0.0,0.0,1,0,0
2021-07-07,Google Search,1,35-55,MacOS,Tier_1,4,0.0,0.0,1,0,0
2021-02-09,Google Search,1,35-55,Other,Tier_1,6,0.0,0.0,2,0,0
2021-01-19,Google Search,1,35-,Windows,Tier_2,2,8.0,0.0,0,0,0
2021-05-04,Google Search,1,35-,Android,Tier_3,2,0.0,0.0,1,0,0
2021-10-24,Google Search,1,55+,Windows,Tier_3,6,340.0,3.49,2,1,0
2021-03-14,Google Search,1,35-,Other,Tier_1,3,0.0,0.0,1,1,0
2021-04-21,Google Search,1,35-55,MacOS,Tier_2,2,0.0,0.0,0,0,0
2021-01-25,Google Search,1,35-55,Android,Tier_1,143,5630.0,349.7900000000001,35,19,15
2021-03-16,Google Search,1,35-55,Windows,Tier_1,23,1560.0,50.12,8,4,2
2021-04-10,Google Search,1,35-55,MacOS,Tier_2,1,0.0,0.0,0,0,0
2021-07-01,Google Search,1,35-,MacOS,Tier_1,3,0.0,0.0,0,0,0
2021-02-07,Google Search,1,55+,Windows,Tier_2,7,645.0,879.56,2,2,1
2021-07-16,Google Search,1,35-,MacOS,Tier_2,1,0.0,0.0,0,0,0
2021-06-14,Google Search,1,35-,MacOS,Tier_1,4,0.0,0.0,0,0,0
2021-01-06,Google Search,1,35-55,iOS,Tier_3,7,0.0,0.0,1,1,1
2021-04-05,Google Search,1,55+,MacOS,Tier_1,22,1900.0,177.53,3,2,1
2021-04-28,Google Search,1,35-55,Windows,Tier_1,27,500.0,72.98,4,4,1
2021-04-06,Google Search,1,55+,MacOS,Tier_1,9,530.0,702.89,2,2,1
2021-06-03,Google Search,1,35-,MacOS,Tier_1,3,0.0,0.0,0,0,0
2021-11-01,Google Search,1,55+,Windows,Tier_2,4,0.0,0.0,1,1,0
2021-01-05,Google Search,1,35-55,Other,Tier_3,1,0.0,0.0,0,0,0
2021-10-01,Google Search,1,55+,MacOS,Tier_2,1,0.0,0.0,0,0,0
2021-01-11,Google Search,1,35-,Windows,Tier_3,3,0.0,0.0,0,0,0
2021-08-21,Google Search,1,55+,iOS,Tier_2,3,0.0,0.0,2,2,1
2021-08-15,Google Search,1,55+,Android,Tier_1,82,2000.0,113.92,23,12,9
2021-02-12,Google Search,1,35-,Windows,Tier_2,4,0.0,0.0,0,0,0
2021-04-17,Google Search,1,35-55,Android,Tier_2,9,0.0,0.0,1,2,0
2021-07-14,Google Search,1,35-,Android,Tier_2,3,0.0,0.0,0,0,0
2021-11-04,Google Search,1,35-55,iOS,Tier_3,3,386.0,3.45,1,0,0
2021-01-10,Google Search,1,55+,MacOS,Tier_3,1,0.0,0.0,1,0,0
2021-09-03,Google Search,1,35-,Windows,Tier_3,5,0.0,80.99,1,1,0
2021-07-20,Google Search,1,55+,Android,Tier_3,2,0.0,2.99,1,0,0
2021-04-19,Google Search,1,35-,iOS,Tier_3,1,0.0,0.0,0,0,0
2021-06-05,Google Search,1,55+,MacOS,Tier_2,2,0.0,0.0,1,1,1
2021-03-03,Google Search,1,35-,Android,Tier_1,46,930.0,275.08000000000004,7,2,1
2021-09-08,Google Search,1,35-55,Windows,Tier_2,5,0.0,0.0,1,0,0
2021-04-17,Google Search,1,35-,Windows,Tier_2,2,0.0,0.0,0,0,0
2021-11-12,Google Search,1,35-55,MacOS,Tier_3,2,0.0,0.0,1,0,0
2021-11-15,Google Search,1,55+,iOS,Tier_2,1,0.0,0.0,1,0,0
2021-09-14,Google Search,1,35-,Other,Tier_3,1,0.0,0.0,0,0,0
2021-09-07,Google Search,1,35-,iOS,Tier_3,6,400.0,196.99,1,1,1
2021-11-08,Google Search,1,35-,Other,Tier_1,2,0.0,0.0,0,0,0
2021-10-14,Google Search,1,35-55,Other,Tier_3,1,0.0,0.0,1,0,0
2021-04-29,Google Search,1,35-55,Other,Tier_1,4,0.0,0.0,0,0,0
2021-04-09,Google Search,1,55+,Other,Tier_1,4,0.0,0.0,1,0,0
2021-10-09,Google Search,1,35-55,MacOS,Tier_2,1,0.0,0.0,0,0,0
2021-07-18,Google Search,1,55+,iOS,Tier_2,3,0.0,0.0,0,0,0
2021-02-01,Google Search,1,35-55,MacOS,Tier_3,2,0.0,0.0,0,0,0
2021-06-17,Google Search,1,35-,iOS,Tier_3,2,0.0,0.0,0,0,0
2021-05-30,Google Search,1,55+,Windows,Tier_3,6,525.0,6.630000000000001,2,1,1
2021-11-04,Google Search,1,35-,Android,Tier_2,3,0.0,0.0,1,1,0
2021-10-03,Google Search,1,35-55,Android,Tier_3,8,400.0,21.99,2,0,1
2021-04-29,Google Search,1,35-,iOS,Tier_3,2,500.0,2.99,0,0,0
2021-01-28,Google Search,1,55+,MacOS,Tier_1,18,500.0,87.96,6,5,3
2021-02-03,Google Search,1,55+,Android,Tier_1,66,2770.0,25.97,24,11,9
2021-01-17,Google Search,1,35-,Windows,Tier_2,4,0.0,0.0,0,0,0
2021-07-25,Google Search,1,35-55,Android,Tier_2,7,0.0,0.0,1,1,0
2021-03-09,Google Search,1,55+,MacOS,Tier_1,13,530.0,0.0,1,1,1
2021-10-24,Google Search,1,55+,MacOS,Tier_1,15,644.0,7.08,3,3,2
2021-04-25,Google Search,1,35-55,Android,Tier_3,12,530.0,2.99,3,1,1
2021-09-15,Google Search,1,35-,Android,Tier_2,10,0.0,0.0,0,0,0
2021-04-29,Google Search,1,35-,Android,Tier_2,7,0.0,0.0,0,0,0
2021-04-09,Google Search,1,35-,Windows,Tier_3,3,0.0,0.0,0,0,0
2021-05-01,Google Search,1,55+,MacOS,Tier_3,1,0.0,0.0,0,0,0
2021-09-11,Google Search,1,55+,iOS,Tier_2,1,0.0,0.0,0,0,0
2021-11-14,Google Search,1,55+,iOS,Tier_1,47,2384.0,742.94,15,11,9
2021-09-02,Google Search,1,35-,Other,Tier_1,1,0.0,0.0,0,0,0
2021-01-07,Google Search,1,55+,MacOS,Tier_2,1,0.0,0.0,1,0,0
2021-06-03,Google Search,1,35-55,iOS,Tier_1,61,2300.0,701.9300000000001,15,8,2
2021-07-26,Google Search,1,35-55,Other,Tier_2,1,0.0,0.0,1,1,1
2021-04-13,Google Search,1,35-,MacOS,Tier_2,3,0.0,0.0,0,0,0
2021-08-20,Google Search,1,55+,Windows,Tier_3,4,0.0,0.0,0,0,0
2021-08-12,Google Search,1,35-,Windows,Tier_2,4,0.0,0.0,0,0,0
2021-03-28,Google Search,1,35-,Windows,Tier_3,3,0.0,0.0,0,0,0
2021-10-29,Google Search,1,55+,Android,Tier_3,2,0.0,0.0,0,0,0
2021-03-02,Google Search,1,35-,Android,Tier_1,49,1200.0,62.13,4,1,1
2021-09-09,Google Search,1,35-,Android,Tier_2,9,386.0,48.49,1,1,1
2021-04-27,Google Search,1,55+,Windows,Tier_1,37,1060.0,2879.96,15,7,5
2021-08-31,Google Search,1,55+,MacOS,Tier_2,1,0.0,0.0,0,0,0
2021-09-17,Google Search,1,35-55,MacOS,Tier_1,13,0.0,160.99,2,0,0
2021-05-30,Google Search,1,55+,Windows,Tier_2,4,315.0,0.0,2,2,0
2021-07-18,Google Search,1,55+,Android,Tier_3,2,0.0,0.0,0,0,1
2021-02-03,Google Search,1,35-,Windows,Tier_3,3,0.0,0.0,0,0,0
2021-07-20,Google Search,1,35-55,Other,Tier_1,2,0.0,0.0,0,0,0
2021-11-10,Google Search,1,35-,Other,Tier_3,1,0.0,0.0,0,0,0
2021-01-16,Google Search,1,55+,iOS,Tier_2,2,0.0,0.0,1,0,0
2021-05-06,Google Search,1,35-,Other,Tier_1,2,0.0,0.0,0,0,0
2021-06-19,Google Search,1,35-55,iOS,Tier_2,1,0.0,0.0,0,0,0
2021-05-29,Google Search,1,35-55,Android,Tier_3,1,0.0,0.0,0,0,0
2021-09-11,Google Search,1,55+,Windows,Tier_3,4,0.0,0.0,1,0,0
2021-05-06,Google Search,1,55+,iOS,Tier_2,1,0.0,0.0,0,0,0
2021-10-28,Google Search,1,35-55,iOS,Tier_2,3,0.0,0.0,0,0,0
2021-04-06,Google Search,1,55+,Android,Tier_1,66,2560.0,448.32,20,12,13
2021-09-10,Google Search,1,35-,Android,Tier_1,41,656.0,126.97,5,0,0
2021-04-10,Google Search,1,55+,Windows,Tier_2,4,0.0,0.0,0,0,0
2021-02-27,Google Search,1,35-55,Android,Tier_3,10,0.0,197.97,3,1,1
2021-08-04,Google Search,1,55+,iOS,Tier_3,2,0.0,0.0,1,0,0
2021-10-28,Google Search,1,35-55,Windows,Tier_3,6,0.0,0.0,1,2,0
2021-08-31,Google Search,1,55+,iOS,Tier_3,1,540.0,0.0,1,1,1
2021-10-26,Google Search,1,35-55,iOS,Tier_2,4,0.0,0.0,1,2,0
2021-02-24,Google Search,1,55+,iOS,Tier_2,1,0.0,0.0,0,0,0
2021-08-25,Google Search,1,55+,Android,Tier_3,3,0.0,0.0,2,1,1
2021-10-08,Google Search,1,35-55,Android,Tier_1,154,6424.0,1620.6200000000001,36,23,17
2021-10-16,Google Search,1,35-55,Windows,Tier_3,8,0.0,0.0,1,1,1
2021-05-21,Google Search,1,35-55,iOS,Tier_3,1,0.0,0.0,0,0,0
2021-10-31,Google Search,1,35-55,MacOS,Tier_2,2,0.0,0.0,1,0,0
2021-03-03,Google Search,1,35-55,Other,Tier_1,1,0.0,0.0,0,0,0
2021-01-11,Google Search,1,35-,MacOS,Tier_1,3,0.0,0.0,0,0,0
2021-06-09,Google Search,1,55+,Windows,Tier_1,39,830.0,637.68,8,3,1
2021-09-09,Google Search,1,35-,MacOS,Tier_1,5,0.0,0.0,0,0,0
2021-09-11,Google Search,1,35-55,Android,Tier_3,10,400.0,2.99,3,3,0
2021-06-26,Google Search,1,35-55,Windows,Tier_3,2,0.0,0.0,1,1,0
2021-09-02,Google Search,1,55+,Android,Tier_1,86,4248.0,2194.3099999999995,32,18,11
2021-01-10,Google Search,1,35-,Windows,Tier_3,2,0.0,0.0,0,0,0
2021-05-31,Google Search,1,35-55,Windows,Tier_2,1,0.0,0.0,0,0,0
2021-10-18,Google Search,1,35-55,iOS,Tier_3,2,0.0,0.0,1,0,1
2021-01-25,Google Search,1,35-55,MacOS,Tier_3,1,0.0,0.0,0,0,0
2021-03-14,Google Search,1,55+,Windows,Tier_1,52,1060.0,72.13,14,1,6
2021-02-03,Google Search,1,35-55,iOS,Tier_3,2,0.0,0.0,1,0,0
2021-10-21,Google Search,1,35-55,Android,Tier_2,11,0.0,0.0,4,1,2
2021-07-21,Google Search,1,55+,Android,Tier_2,2,0.0,0.0,1,1,1
2021-06-25,Google Search,1,35-,Android,Tier_1,40,0.0,0.0,7,3,0
2021-01-04,Google Search,1,35-,iOS,Tier_1,67,670.0,478.81,8,2,4
2021-07-07,Google Search,1,55+,Android,Tier_2,4,0.0,0.0,1,0,0
2021-02-14,Google Search,1,35-55,Android,Tier_3,11,0.0,0.0,3,2,2
2021-01-12,Google Search,1,35-55,Other,Tier_1,1,0.0,0.0,0,0,0
2021-09-29,Google Search,1,35-,MacOS,Tier_1,5,0.0,0.0,2,0,0
2021-05-12,Google Search,1,55+,iOS,Tier_1,51,1430.0,343.97,5,5,3
2021-08-04,Google Search,1,55+,Windows,Tier_3,13,0.0,0.0,0,0,0
2021-03-02,Google Search,1,55+,Android,Tier_2,6,0.0,0.0,0,0,0
